"Nome.Pa","Cultura","Freq"
"PA COLONIA S. JOSE DO XINGU","Cana-de-açúcar",0
"PA CONCEIÇÃO","Cana-de-açúcar",3
"PA CUPÚ","Cana-de-açúcar",0
"PA LINDOESTE","Cana-de-açúcar",0
"PA MATA VERDE","Cana-de-açúcar",1
"PA PE JOSIMO TAVARES","Cana-de-açúcar",9
"PA RIO CINZA","Cana-de-açúcar",0
"PA TANCREDO NEVES","Cana-de-açúcar",1
"PA VOLTA DO TAPIRAPÉ","Cana-de-açúcar",3
"PA 17 DE ABRIL","Cebola",0
"PA BOM JARDIM","Cebola",0
"PA COLONIA S. JOSE DO XINGU","Cebola",0
"PA CONCEIÇÃO","Cebola",0
"PA CUPÚ","Cebola",0
"PA LINDOESTE","Cebola",0
"PA MATA VERDE","Cebola",1
"PA PE JOSIMO TAVARES","Cebola",0
"PA RIO CINZA","Cebola",0
"PA TANCREDO NEVES","Cebola",0
"PA VOLTA DO TAPIRAPÉ","Cebola",0
"PA 17 DE ABRIL","Coco-da-baía",1
"PA BOM JARDIM","Coco-da-baía",0
"PA COLONIA S. JOSE DO XINGU","Coco-da-baía",0
"PA CONCEIÇÃO","Coco-da-baía",0
"PA CUPÚ","Coco-da-baía",0
"PA LINDOESTE","Coco-da-baía",0
"PA MATA VERDE","Coco-da-baía",0
"PA PE JOSIMO TAVARES","Coco-da-baía",0
"PA RIO CINZA","Coco-da-baía",0
"PA TANCREDO NEVES","Coco-da-baía",0
"PA VOLTA DO TAPIRAPÉ","Coco-da-baía",0
"PA 17 DE ABRIL","Couve",0
"PA BOM JARDIM","Couve",0
"PA COLONIA S. JOSE DO XINGU","Couve",1
"PA CONCEIÇÃO","Couve",0
"PA CUPÚ","Couve",0
"PA LINDOESTE","Couve",0
"PA MATA VERDE","Couve",0
"PA PE JOSIMO TAVARES","Couve",0
"PA RIO CINZA","Couve",0
"PA TANCREDO NEVES","Couve",0
"PA VOLTA DO TAPIRAPÉ","Couve",0
"PA 17 DE ABRIL","Cupuaçu",1
"PA BOM JARDIM","Cupuaçu",0
"PA COLONIA S. JOSE DO XINGU","Cupuaçu",0
"PA CONCEIÇÃO","Cupuaçu",0
"PA CUPÚ","Cupuaçu",0
"PA LINDOESTE","Cupuaçu",0
"PA MATA VERDE","Cupuaçu",0
"PA PE JOSIMO TAVARES","Cupuaçu",1
"PA RIO CINZA","Cupuaçu",0
"PA TANCREDO NEVES","Cupuaçu",0
"PA VOLTA DO TAPIRAPÉ","Cupuaçu",0
"PA 17 DE ABRIL","Feijão",7
"PA BOM JARDIM","Feijão",12
"PA COLONIA S. JOSE DO XINGU","Feijão",0
"PA CONCEIÇÃO","Feijão",2
"PA CUPÚ","Feijão",0
"PA LINDOESTE","Feijão",0
"PA MATA VERDE","Feijão",2
"PA PE JOSIMO TAVARES","Feijão",2
"PA RIO CINZA","Feijão",0
"PA TANCREDO NEVES","Feijão",0
"PA VOLTA DO TAPIRAPÉ","Feijão",1
"PA 17 DE ABRIL","Goiaba",2
"PA BOM JARDIM","Goiaba",0
"PA COLONIA S. JOSE DO XINGU","Goiaba",0
"PA CONCEIÇÃO","Goiaba",0
"PA CUPÚ","Goiaba",0
"PA LINDOESTE","Goiaba",0
"PA MATA VERDE","Goiaba",0
"PA PE JOSIMO TAVARES","Goiaba",0
"PA RIO CINZA","Goiaba",0
"PA TANCREDO NEVES","Goiaba",0
"PA VOLTA DO TAPIRAPÉ","Goiaba",0
"PA 17 DE ABRIL","Laranja",1
"PA BOM JARDIM","Laranja",0
"PA COLONIA S. JOSE DO XINGU","Laranja",0
"PA CONCEIÇÃO","Laranja",0
"PA CUPÚ","Laranja",0
"PA LINDOESTE","Laranja",0
"PA MATA VERDE","Laranja",0
"PA PE JOSIMO TAVARES","Laranja",0
"PA RIO CINZA","Laranja",0
"PA TANCREDO NEVES","Laranja",0
"PA VOLTA DO TAPIRAPÉ","Laranja",0
"PA 17 DE ABRIL","Limão",2
"PA BOM JARDIM","Limão",0
"PA COLONIA S. JOSE DO XINGU","Limão",0
"PA CONCEIÇÃO","Limão",0
"PA CUPÚ","Limão",0
"PA LINDOESTE","Limão",0
"PA MATA VERDE","Limão",0
"PA PE JOSIMO TAVARES","Limão",1
"PA RIO CINZA","Limão",0
"PA TANCREDO NEVES","Limão",0
"PA VOLTA DO TAPIRAPÉ","Limão",0
"PA 17 DE ABRIL","Mamão",3
"PA BOM JARDIM","Mamão",0
"PA COLONIA S. JOSE DO XINGU","Mamão",0
"PA CONCEIÇÃO","Mamão",0
"PA CUPÚ","Mamão",0
"PA LINDOESTE","Mamão",0
"PA MATA VERDE","Mamão",0
"PA PE JOSIMO TAVARES","Mamão",2
"PA RIO CINZA","Mamão",0
"PA TANCREDO NEVES","Mamão",0
"PA VOLTA DO TAPIRAPÉ","Mamão",0
"PA 17 DE ABRIL","Mandioca",23
"PA BOM JARDIM","Mandioca",15
"PA COLONIA S. JOSE DO XINGU","Mandioca",17
"PA CONCEIÇÃO","Mandioca",14
"PA CUPÚ","Mandioca",2
"PA LINDOESTE","Mandioca",0
"PA MATA VERDE","Mandioca",6
"PA PE JOSIMO TAVARES","Mandioca",203
"PA RIO CINZA","Mandioca",0
"PA TANCREDO NEVES","Mandioca",5
"PA VOLTA DO TAPIRAPÉ","Mandioca",15
"PA 17 DE ABRIL","Manga",1
"PA BOM JARDIM","Manga",0
"PA COLONIA S. JOSE DO XINGU","Manga",0
"PA CONCEIÇÃO","Manga",0
"PA CUPÚ","Manga",0
"PA LINDOESTE","Manga",0
"PA MATA VERDE","Manga",0
"PA PE JOSIMO TAVARES","Manga",0
"PA RIO CINZA","Manga",0
"PA TANCREDO NEVES","Manga",0
"PA VOLTA DO TAPIRAPÉ","Manga",0
"PA 17 DE ABRIL","Maracuja",1
"PA BOM JARDIM","Maracuja",0
"PA COLONIA S. JOSE DO XINGU","Maracuja",0
"PA CONCEIÇÃO","Maracuja",0
"PA CUPÚ","Maracuja",0
"PA LINDOESTE","Maracuja",0
"PA MATA VERDE","Maracuja",0
"PA PE JOSIMO TAVARES","Maracuja",3
"PA RIO CINZA","Maracuja",0
"PA TANCREDO NEVES","Maracuja",0
"PA VOLTA DO TAPIRAPÉ","Maracuja",0
"PA 17 DE ABRIL","Melancia",0
"PA BOM JARDIM","Melancia",0
"PA COLONIA S. JOSE DO XINGU","Melancia",0
"PA CONCEIÇÃO","Melancia",1
"PA CUPÚ","Melancia",0
"PA LINDOESTE","Melancia",0
"PA MATA VERDE","Melancia",2
"PA PE JOSIMO TAVARES","Melancia",2
"PA RIO CINZA","Melancia",0
