"Nome.Pa","Cultura","Freq"
"PA MATA VERDE","Cana-de-acucar",1
"PA PE JOSIMO TAVARES","Cana-de-acucar",9
"PA RIO CINZA","Cana-de-acucar",0
"PA TANCREDO NEVES","Cana-de-acucar",1
"PA VOLTA DO TAPIRAPe","Cana-de-acucar",3
"PA 17 DE ABRIL","Cebola",0
"PA BOM JARDIM","Cebola",0
"PA COLONIA S. JOSE DO XINGU","Cebola",0
"PA CONCEIcaO","Cebola",0
"PA CUPu","Cebola",0
"PA LINDOESTE","Cebola",0
"PA MATA VERDE","Cebola",1
"PA PE JOSIMO TAVARES","Cebola",0
"PA RIO CINZA","Cebola",0
"PA TANCREDO NEVES","Cebola",0
"PA VOLTA DO TAPIRAPe","Cebola",0
"PA 17 DE ABRIL","Coco-da-baía",1
"PA BOM JARDIM","Coco-da-baía",0
"PA COLONIA S. JOSE DO XINGU","Coco-da-baía",0
"PA CONCEIcaO","Coco-da-baía",0
"PA CUPu","Coco-da-baía",0
"PA LINDOESTE","Coco-da-baía",0
"PA MATA VERDE","Coco-da-baía",0
"PA PE JOSIMO TAVARES","Coco-da-baía",0
"PA RIO CINZA","Coco-da-baía",0
"PA TANCREDO NEVES","Coco-da-baía",0
"PA VOLTA DO TAPIRAPe","Coco-da-baía",0
"PA 17 DE ABRIL","Couve",0
"PA BOM JARDIM","Couve",0
"PA COLONIA S. JOSE DO XINGU","Couve",1
"PA CONCEIcaO","Couve",0
"PA CUPu","Couve",0
"PA LINDOESTE","Couve",0
"PA MATA VERDE","Couve",0
"PA PE JOSIMO TAVARES","Couve",0
"PA RIO CINZA","Couve",0
"PA TANCREDO NEVES","Couve",0
"PA VOLTA DO TAPIRAPe","Couve",0
"PA 17 DE ABRIL","Cupuacu",1
"PA BOM JARDIM","Cupuacu",0
"PA COLONIA S. JOSE DO XINGU","Cupuacu",0
"PA CONCEIcaO","Cupuacu",0
"PA CUPu","Cupuacu",0
"PA LINDOESTE","Cupuacu",0
"PA MATA VERDE","Cupuacu",0
"PA PE JOSIMO TAVARES","Cupuacu",1
"PA RIO CINZA","Cupuacu",0
"PA TANCREDO NEVES","Cupuacu",0
"PA VOLTA DO TAPIRAPe","Cupuacu",0
"PA 17 DE ABRIL","Feijao",7
"PA BOM JARDIM","Feijao",12
"PA COLONIA S. JOSE DO XINGU","Feijao",0
"PA CONCEIcaO","Feijao",2
"PA CUPu","Feijao",0
"PA LINDOESTE","Feijao",0
"PA MATA VERDE","Feijao",2
"PA PE JOSIMO TAVARES","Feijao",2
"PA RIO CINZA","Feijao",0
"PA TANCREDO NEVES","Feijao",0
"PA VOLTA DO TAPIRAPe","Feijao",1
"PA 17 DE ABRIL","Goiaba",2
"PA BOM JARDIM","Goiaba",0
"PA COLONIA S. JOSE DO XINGU","Goiaba",0
"PA CONCEIcaO","Goiaba",0
"PA CUPu","Goiaba",0
"PA LINDOESTE","Goiaba",0
"PA MATA VERDE","Goiaba",0
"PA PE JOSIMO TAVARES","Goiaba",0
"PA RIO CINZA","Goiaba",0
"PA TANCREDO NEVES","Goiaba",0
"PA VOLTA DO TAPIRAPe","Goiaba",0
"PA 17 DE ABRIL","Laranja",1
"PA BOM JARDIM","Laranja",0
"PA COLONIA S. JOSE DO XINGU","Laranja",0
"PA CONCEIcaO","Laranja",0
"PA CUPu","Laranja",0
"PA LINDOESTE","Laranja",0
"PA MATA VERDE","Laranja",0
"PA PE JOSIMO TAVARES","Laranja",0
"PA RIO CINZA","Laranja",0
"PA TANCREDO NEVES","Laranja",0
"PA VOLTA DO TAPIRAPe","Laranja",0
"PA 17 DE ABRIL","Limao",2
"PA BOM JARDIM","Limao",0
"PA COLONIA S. JOSE DO XINGU","Limao",0
"PA CONCEIcaO","Limao",0
"PA CUPu","Limao",0
"PA LINDOESTE","Limao",0
"PA MATA VERDE","Limao",0
"PA PE JOSIMO TAVARES","Limao",1
"PA RIO CINZA","Limao",0
"PA TANCREDO NEVES","Limao",0
"PA VOLTA DO TAPIRAPe","Limao",0
"PA 17 DE ABRIL","Mamao",3
"PA BOM JARDIM","Mamao",0
"PA COLONIA S. JOSE DO XINGU","Mamao",0
"PA CONCEIcaO","Mamao",0
"PA CUPu","Mamao",0
"PA LINDOESTE","Mamao",0
"PA MATA VERDE","Mamao",0
"PA PE JOSIMO TAVARES","Mamao",2
"PA RIO CINZA","Mamao",0
"PA TANCREDO NEVES","Mamao",0
"PA VOLTA DO TAPIRAPe","Mamao",0
"PA 17 DE ABRIL","Mandioca",23
"PA BOM JARDIM","Mandioca",15
"PA COLONIA S. JOSE DO XINGU","Mandioca",17
"PA CONCEIcaO","Mandioca",14
"PA CUPu","Mandioca",2
"PA LINDOESTE","Mandioca",0
"PA MATA VERDE","Mandioca",6
"PA PE JOSIMO TAVARES","Mandioca",203
"PA RIO CINZA","Mandioca",0
"PA TANCREDO NEVES","Mandioca",5
"PA VOLTA DO TAPIRAPe","Mandioca",15
"PA 17 DE ABRIL","Manga",1
"PA BOM JARDIM","Manga",0
"PA COLONIA S. JOSE DO XINGU","Manga",0
"PA CONCEIcaO","Manga",0
"PA CUPu","Manga",0
"PA LINDOESTE","Manga",0
"PA MATA VERDE","Manga",0
"PA PE JOSIMO TAVARES","Manga",0
"PA RIO CINZA","Manga",0
"PA TANCREDO NEVES","Manga",0
"PA VOLTA DO TAPIRAPe","Manga",0
"PA 17 DE ABRIL","Maracuja",1
"PA BOM JARDIM","Maracuja",0
"PA COLONIA S. JOSE DO XINGU","Maracuja",0
"PA CONCEIcaO","Maracuja",0
"PA CUPu","Maracuja",0
"PA LINDOESTE","Maracuja",0
"PA MATA VERDE","Maracuja",0
"PA PE JOSIMO TAVARES","Maracuja",3
"PA RIO CINZA","Maracuja",0
"PA TANCREDO NEVES","Maracuja",0
"PA VOLTA DO TAPIRAPe","Maracuja",0
"PA 17 DE ABRIL","Melancia",0
"PA BOM JARDIM","Melancia",0
"PA COLONIA S. JOSE DO XINGU","Melancia",0
"PA CONCEIcaO","Melancia",1
"PA CUPu","Melancia",0
"PA LINDOESTE","Melancia",0
"PA MATA VERDE","Melancia",2
"PA PE JOSIMO TAVARES","Melancia",2
"PA RIO CINZA","Melancia",0
"PA TANCREDO NEVES","Melancia",0
"PA VOLTA DO TAPIRAPe","Melancia",0
"PA 17 DE ABRIL","Milho",27
"PA BOM JARDIM","Milho",39
"PA COLONIA S. JOSE DO XINGU","Milho",32
"PA CONCEIcaO","Milho",14
"PA CUPu","Milho",10
"PA LINDOESTE","Milho",0
"PA MATA VERDE","Milho",11
"PA PE JOSIMO TAVARES","Milho",40
"PA RIO CINZA","Milho",0
"PA TANCREDO NEVES","Milho",1
"PA VOLTA DO TAPIRAPe","Milho",24
"PA 17 DE ABRIL","Outros",33
"PA BOM JARDIM","Outros",28
"PA COLONIA S. JOSE DO XINGU","Outros",233
"PA CONCEIcaO","Outros",0
"PA CUPu","Outros",10
"PA LINDOESTE","Outros",3
"PA MATA VERDE","Outros",1
"PA PE JOSIMO TAVARES","Outros",3
"PA RIO CINZA","Outros",5
"PA TANCREDO NEVES","Outros",7
"PA VOLTA DO TAPIRAPe","Outros",1
"PA 17 DE ABRIL","Pepino",0
"PA BOM JARDIM","Pepino",0
"PA COLONIA S. JOSE DO XINGU","Pepino",0
"PA CONCEIcaO","Pepino",0
"PA CUPu","Pepino",0
"PA LINDOESTE","Pepino",0
"PA MATA VERDE","Pepino",0
"PA PE JOSIMO TAVARES","Pepino",1
"PA RIO CINZA","Pepino",0
"PA TANCREDO NEVES","Pepino",0
"PA VOLTA DO TAPIRAPe","Pepino",0
"PA 17 DE ABRIL","Quiabo",0
"PA BOM JARDIM","Quiabo",1
"PA COLONIA S. JOSE DO XINGU","Quiabo",1
"PA CONCEIcaO","Quiabo",0
"PA CUPu","Quiabo",0
"PA LINDOESTE","Quiabo",0
"PA MATA VERDE","Quiabo",0
"PA PE JOSIMO TAVARES","Quiabo",1
"PA RIO CINZA","Quiabo",0
"PA TANCREDO NEVES","Quiabo",0
"PA VOLTA DO TAPIRAPe","Quiabo",0
"PA 17 DE ABRIL","Soja",0
"PA BOM JARDIM","Soja",0
"PA COLONIA S. JOSE DO XINGU","Soja",0
"PA CONCEIcaO","Soja",0
